month,open,close
2010-01,1116.56005859375,1073.8699951171875
2010-02,1073.8900146484375,1104.489990234375
2010-03,1105.3599853515625,1169.4300537109375
2010-04,1171.22998046875,1186.68994140625
2010-05,1188.5799560546875,1089.4100341796875
2010-06,1087.300048828125,1030.7099609375
2010-07,1031.0999755859375,1101.5999755859375
2010-08,1107.530029296875,1049.3299560546875
2010-09,1049.719970703125,1141.199951171875
2010-10,1143.489990234375,1183.260009765625
2010-11,1185.7099609375,1180.550048828125
2010-12,1186.5999755859375,1257.6400146484375
2011-01,1257.6199951171875,1286.1199951171875
2011-02,1289.1400146484375,1327.219970703125
2011-03,1328.6400146484375,1325.8299560546875
2011-04,1329.47998046875,1363.6099853515625
2011-05,1365.2099609375,1345.199951171875
2011-06,1345.199951171875,1320.6400146484375
2011-07,1320.6400146484375,1292.280029296875
2011-08,1292.5899658203125,1218.8900146484375
2011-09,1219.1199951171875,1131.4200439453125
2011-10,1131.2099609375,1253.300048828125
2011-11,1251.0,1246.9599609375
2011-12,1246.9100341796875,1257.5999755859375
2012-01,1258.8599853515625,1312.4100341796875
2012-02,1312.449951171875,1365.6800537109375
2012-03,1365.9000244140625,1408.469970703125
2012-04,1408.469970703125,1397.9100341796875
2012-05,1397.8599853515625,1310.3299560546875
2012-06,1309.8699951171875,1362.1600341796875
2012-07,1362.3299560546875,1379.3199462890625
2012-08,1379.3199462890625,1406.5799560546875
2012-09,1406.5400390625,1440.6700439453125
2012-10,1440.9000244140625,1412.1600341796875
2012-11,1412.199951171875,1416.1800537109375
2012-12,1416.3399658203125,1426.18994140625
2013-01,1426.18994140625,1498.1099853515625
2013-02,1498.1099853515625,1514.6800537109375
2013-03,1514.6800537109375,1569.18994140625
2013-04,1569.1800537109375,1597.5699462890625
2013-05,1597.550048828125,1630.739990234375
2013-06,1631.7099609375,1606.280029296875
2013-07,1609.780029296875,1685.72998046875
2013-08,1689.4200439453125,1632.969970703125
2013-09,1635.949951171875,1681.550048828125
2013-10,1682.4100341796875,1756.5400390625
2013-11,1758.699951171875,1805.81005859375
2013-12,1806.550048828125,1848.3599853515625
2014-01,1845.8599853515625,1782.5899658203125
2014-02,1782.6800537109375,1859.449951171875
2014-03,1857.6800537109375,1872.3399658203125
2014-04,1873.9599609375,1883.949951171875
2014-05,1884.3900146484375,1923.5699462890625
2014-06,1923.8699951171875,1960.22998046875
2014-07,1962.2900390625,1930.6700439453125
2014-08,1929.800048828125,2003.3699951171875
2014-09,2004.0699462890625,1972.2900390625
2014-10,1971.43994140625,2018.050048828125
2014-11,2018.2099609375,2067.56005859375
2014-12,2065.780029296875,2058.89990234375
2015-01,2058.89990234375,1994.989990234375
2015-02,1996.6700439453125,2104.5
2015-03,2105.22998046875,2067.889892578125
2015-04,2067.6298828125,2085.510009765625
2015-05,2087.3798828125,2107.389892578125
2015-06,2108.639892578125,2063.110107421875
2015-07,2067.0,2103.840087890625
2015-08,2104.489990234375,1972.1800537109375
2015-09,1970.0899658203125,1920.030029296875
2015-10,1919.6500244140625,2079.360107421875
2015-11,2080.760009765625,2080.409912109375
2015-12,2082.929931640625,2043.93994140625
2016-01,2038.199951171875,1940.239990234375
2016-02,1936.93994140625,1932.22998046875
2016-03,1937.0899658203125,2059.739990234375
2016-04,2056.6201171875,2065.300048828125
2016-05,2067.169921875,2096.949951171875
2016-06,2093.93994140625,2098.860107421875
2016-07,2099.340087890625,2173.60009765625
2016-08,2173.14990234375,2170.949951171875
2016-09,2171.330078125,2168.27001953125
2016-10,2164.330078125,2126.14990234375
